OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,COUNT_ALL_RACES_ETHNICITIES,COUNT_WHITE_NH,COUNT_BLACK_NH,COUNT_ASIAN_NH,COUNT_HISPANIC,PERCENT_WHITE_NH,PERCENT_BLACK_NH,PERCENT_ASIAN_NH,PERCENT_HISPANIC,Shape__Area,Shape__Length
100,42101010000,2010,Census tract,4366,446,3624,63,153,10.21530005,83.00503894,1.44296839,3.50435181,847363.26171875,4340.68729780935
101,42101010100,2010,Census tract,5459,87,5093,38,129,1.59369848,93.29547536,0.69609819,2.36307016,1025320.43359375,4126.77529232815
102,42101010200,2010,Census tract,3187,20,3056,7,34,0.62754942,95.8895513,0.2196423,1.06683401,614691.11328125,3212.65961893169
103,42101010300,2010,Census tract,2449,10,2302,12,57,0.40832993,93.99755002,0.48999592,2.3274806,479455.8515625,3111.36730615815
104,42101010400,2010,Census tract,3332,72,3082,5,113,2.16086435,92.4969988,0.15006002,3.39135654,806354.890625,4269.75772110373
105,42101010500,2010,Census tract,3746,95,3462,20,84,2.53603844,92.41857982,0.53390283,2.24239188,1121039.54296875,5393.73005368987
106,42101010600,2010,Census tract,1476,37,1326,35,15,2.50677507,89.83739837,2.37127371,1.01626016,452442.94921875,3150.92247206559
107,42101010700,2010,Census tract,3562,67,3345,10,79,1.88096575,93.9079169,0.28074116,2.21785514,784907.42578125,4049.59322015056
108,42101010800,2010,Census tract,3611,252,3116,46,87,6.97867627,86.2918859,1.27388535,2.4093049,998249.38671875,4921.31150413629
109,42101010900,2010,Census tract,2313,397,1723,72,58,17.16385646,74.49200173,3.11284047,2.50756593,422949.48828125,2769.32126643098
110,42101011000,2010,Census tract,3470,92,3206,7,98,2.65129683,92.39193084,0.20172911,2.82420749,806161.359375,4411.08595343312
111,42101011100,2010,Census tract,3712,63,3451,37,82,1.69719828,92.96875,0.99676724,2.20905172,2218687.7421875,6751.45502903193
112,42101011200,2010,Census tract,5494,38,5190,17,100,0.69166363,94.46669094,0.30942847,1.82016746,857810.671875,3710.62350915926
113,42101011300,2010,Census tract,2917,22,2759,15,49,0.75419952,94.58347617,0.51422695,1.67980802,571021.8515625,3196.59220759814
114,42101011400,2010,Census tract,6126,148,5618,51,134,2.41593209,91.70747633,0.83251714,2.18739798,1658933.58203125,5544.26502659636
115,42101011500,2010,Census tract,4282,350,3646,40,154,8.17375058,85.14712751,0.93414292,3.59645026,631735.109375,3196.49576541398
116,42101011700,2010,Census tract,1931,1093,713,29,57,56.60279648,36.92387364,1.50181253,2.95183843,1117951.2265625,4731.60704640904
117,42101011800,2010,Census tract,5621,152,5211,29,94,2.70414517,92.70592421,0.51592243,1.6723003,1560700.3046875,7042.46133726008
118,42101011900,2010,Census tract,5195,127,4769,35,127,2.44465833,91.79980751,0.67372474,2.44465833,1178591.75390625,5578.06730184994
119,42101012000,2010,Census tract,1947,720,1058,51,64,36.97996918,54.34001027,2.61941448,3.28710837,1024355.44140625,4090.56913496656
120,42101012100,2010,Census tract,2547,634,1687,107,54,24.89202984,66.23478602,4.20102081,2.12014134,1502547.45703125,5607.91651424459
121,42101012201,2010,Census tract,2911,1157,1089,434,112,39.74579182,37.4098248,14.90896599,3.84747509,615149.4765625,3789.43896826913
122,42101012203,2010,Census tract,1120,443,338,255,37,39.55357143,30.17857143,22.76785714,3.30357143,382401.1328125,3146.22328055286
123,42101012204,2010,Census tract,3564,893,2363,109,92,25.05611672,66.30190797,3.05836139,2.58136925,1586564.92578125,7693.70591309805
124,42101012500,2010,Census tract,5210,3433,562,796,281,65.8925144,10.78694818,15.27831094,5.39347409,1552850.30078125,6987.08734132355
125,42101013100,2010,Census tract,1529,257,1081,41,106,16.80837148,70.69980379,2.68149117,6.93263571,549181.8671875,2974.72104639686
126,42101013200,2010,Census tract,2914,226,2297,97,223,7.75566232,78.82635553,3.32875772,7.65271105,727217.1953125,3428.85742936636
127,42101013300,2010,Census tract,2854,1336,1082,122,240,46.81149264,37.91170287,4.27470217,8.40925018,610072.26171875,3467.7339596011
128,42101013401,2010,Census tract,2288,2056,78,61,66,89.86013986,3.40909091,2.66608392,2.88461538,280806.90625,2311.70940188584
129,42101013402,2010,Census tract,2922,2076,303,128,347,71.04722793,10.36960986,4.38056126,11.87542779,406704.23046875,2588.71114445921
130,42101013500,2010,Census tract,3222,1575,1248,77,251,48.88268156,38.73370577,2.38981999,7.79019243,690216.046875,3555.76844834348
131,42101013601,2010,Census tract,2677,2316,84,117,96,86.51475532,3.13784087,4.37056406,3.58610385,285724.11328125,2467.79614265228
132,42101013602,2010,Census tract,3503,2917,261,112,132,83.27148159,7.45075649,3.19725949,3.76819869,400065.50390625,3037.05845139952
133,42101013700,2010,Census tract,4813,789,3651,78,164,16.39310202,75.85705381,1.62061085,3.40743819,1005421.1796875,4062.70201064666
134,42101013800,2010,Census tract,2061,119,1805,19,73,5.77389617,87.57884522,0.92188258,3.54196992,581822.5625,3471.42556034246
135,42101013900,2010,Census tract,3764,418,3027,32,212,11.10520723,80.41976621,0.8501594,5.63230606,959714.67578125,4676.78119489706
136,42101014000,2010,Census tract,3010,385,2265,118,172,12.79069767,75.24916944,3.92026578,5.71428571,749565.65234375,3464.15424550602
137,42101014100,2010,Census tract,2094,188,1552,70,255,8.97803247,74.1165234,3.34288443,12.17765043,958246.6953125,4743.71156698013
138,42101014200,2010,Census tract,3570,2641,281,146,404,73.97759104,7.87114846,4.08963585,11.31652661,1711259.12890625,6894.38129192307
139,42101014300,2010,Census tract,1439,1188,62,53,103,82.55733148,4.3085476,3.68311327,7.15774844,1410379.953125,6071.94323018246
140,42101014400,2010,Census tract,3105,1302,488,60,1146,41.93236715,15.71658615,1.93236715,36.90821256,1038906.65234375,4315.94853154732
141,42101014500,2010,Census tract,2464,474,1425,102,427,19.23701299,57.83279221,4.13961039,17.32954545,548061.77734375,2987.22161897946
142,42101014600,2010,Census tract,4289,1617,2205,207,138,37.70109583,51.41058522,4.82629984,3.21753322,758770.125,3621.68530754358
143,42101014700,2010,Census tract,3939,1747,1641,226,186,44.35135821,41.66031988,5.73749683,4.72201066,575856.828125,3078.46754673068
144,42101014800,2010,Census tract,785,18,702,31,23,2.29299363,89.42675159,3.94904459,2.92993631,325910.73046875,2365.76829042227
145,42101014900,2010,Census tract,3967,40,3723,19,114,1.00831863,93.84925637,0.47895135,2.87370809,772798.1328125,4444.96756464854
146,42101015101,2010,Census tract,2038,19,1942,6,32,0.93228656,95.28949951,0.29440628,1.57016683,329305.83984375,2527.61028201842
147,42101015102,2010,Census tract,4269,19,4081,14,87,0.4450691,95.59615835,0.32794565,2.037948,952993.953125,3922.435916455
148,42101015200,2010,Census tract,6133,114,5731,20,142,1.85879667,93.44529594,0.32610468,2.31534323,1137219.40234375,4764.5460516266
149,42101015300,2010,Census tract,4962,2232,2225,262,135,44.98186215,44.84079,5.28012898,2.72067715,800105.6328125,3574.20573768298
150,42101015600,2010,Census tract,1741,209,373,23,1109,12.00459506,21.4244687,1.32107984,63.69902355,732510.31640625,3525.76535466985
151,42101015700,2010,Census tract,2641,814,232,26,1493,30.82165846,8.78455131,0.98447558,56.53161681,827279.45703125,3734.87347329397
152,42101015800,2010,Census tract,5684,5037,115,121,274,88.61717101,2.02322308,2.12878255,4.82054891,989080.765625,4186.20336489578
153,42101016000,2010,Census tract,7002,6088,183,157,424,86.94658669,2.61353899,2.24221651,6.05541274,1229118.2890625,4440.0008964416
154,42101016100,2010,Census tract,5590,2375,582,758,1736,42.48658318,10.41144902,13.55992844,31.05545617,1206658.24609375,4596.32855655079
155,42101016200,2010,Census tract,2225,83,423,33,1664,3.73033708,19.01123596,1.48314607,74.78651685,622401.08203125,3719.00690409361
156,42101016300,2010,Census tract,3248,150,434,212,2434,4.6182266,13.36206897,6.5270936,74.93842365,975885.328125,4326.89418710351
157,42101016400,2010,Census tract,4564,56,1733,19,2709,1.22699387,37.971078,0.41630149,59.35582822,827289.7265625,3639.43755733501
