OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SHAPE_LENG,Shape__Area,Shape__Length
8768,42,101,003600,1006,421010036001006,Block 1006,G5040, , ,S,9239,0,+39.9303197,-075.1915267,408.70562255,99502.5543823242,1341.80154234244
8769,42,101,003600,1004,421010036001004,Block 1004,G5040, , ,S,18816,0,+39.9300699,-075.1895577,548.48213977,202526.921020508,1800.14529167207
8770,42,101,003200,5005,421010032005005,Block 5005,G5040, , ,S,6840,0,+39.9311554,-075.1882159,373.7693148,73726.905090332,1227.6351060182
8771,42,101,003600,1015,421010036001015,Block 1015,G5040, , ,S,8871,0,+39.9291669,-075.1897533,402.33627118,95535.5199584961,1320.86911652928
8772,42,101,003600,3024,421010036003024,Block 3024,G5040, , ,S,5974,0,+39.9239285,-075.1876803,350.88220528,64263.7699584961,1151.08960165342
8773,42,101,003600,3000,421010036003000,Block 3000,G5040, , ,S,7565,0,+39.9252740,-075.1864546,613.98398057,81423.6091308594,2015.36594944299
8774,42,101,003300,1006,421010033001006,Block 1006,G5040, , ,S,5678,0,+39.9339396,-075.1903324,357.27245852,61123.6663208008,1172.70246060707
8775,42,101,003701,4002,421010037014002,Block 4002,G5040, , ,S,6814,0,+39.9292995,-075.1849561,341.29794346,73408.1942749023,1120.8093340862
8776,42,101,003200,3011,421010032003011,Block 3011,G5040, , ,S,4983,0,+39.9308004,-075.1823332,308.68700711,53616.131652832,1013.17923194645
8777,42,101,003100,5007,421010031005007,Block 5007,G5040, , ,S,8080,0,+39.9316206,-075.1789099,429.10243994,86998.6418457031,1408.47535835857
8778,42,101,003701,4006,421010037014006,Block 4006,G5040, , ,S,6846,0,+39.9280644,-075.1837206,374.9160003,73776.7037963867,1230.97405092205
8779,42,101,003701,5007,421010037015007,Block 5007,G5040, , ,S,6688,0,+39.9286071,-075.1813693,371.76306748,71945.528137207,1220.34548794146
8780,42,101,003702,2004,421010037022004,Block 2004,G5040, , ,S,6711,0,+39.9251276,-075.1837967,378.26825929,72190.9022827148,1241.02771437964
8781,42,101,003701,3007,421010037013007,Block 3007,G5040, , ,S,6963,0,+39.9267025,-075.1829054,374.71289598,74868.9079589844,1229.45869879518
8782,42,101,003701,1003,421010037011003,Block 1003,G5040, , ,S,6604,0,+39.9281584,-075.1778678,369.5605573,71013.4273681641,1212.56797835754
8783,42,101,003701,3010,421010037013010,Block 3010,G5040, , ,S,6474,0,+39.9264960,-075.1812937,368.14001352,69700.9899902344,1208.76579387297
8784,42,101,003702,2005,421010037022005,Block 2005,G5040, , ,S,6990,0,+39.9241581,-075.1828708,379.93065766,75121.0365600586,1246.46755058186
8785,42,101,003702,1010,421010037021010,Block 1010,G5040, , ,S,8736,0,+39.9239759,-075.1811858,394.91892499,94189.0186157227,1297.34682382995
8786,42,101,003702,1005,421010037021005,Block 1005,G5040, , ,S,7524,0,+39.9250253,-075.1796840,386.62579922,80911.9822387695,1268.4589498951
8787,42,101,003100,5008,421010031005008,Block 5008,G5040, , ,S,6609,0,+39.9313985,-075.1771719,368.68135956,71113.4406738281,1209.81939650686
8788,42,101,003100,3005,421010031003005,Block 3005,G5040, , ,S,6571,0,+39.9293802,-075.1776138,369.00703228,70654.1208496094,1210.49969967663
8789,42,101,003600,3025,421010036003025,Block 3025,G5040, , ,S,2371,0,+39.9236117,-075.1868245,233.87931497,25498.5611572266,767.478005067947
8790,42,101,003600,3027,421010036003027,Block 3027,G5040, , ,S,6338,0,+39.9231112,-075.1878528,356.58890098,68210.6536254883,1170.15485842789
8791,42,101,003800,2003,421010038002003,Block 2003,G5040, , ,S,39957,0,+39.9211698,-075.1882014,826.25319089,430157.429870605,2711.74462529218
8792,42,101,003200,1009,421010032001009,Block 1009,G5040, , ,S,5921,0,+39.9341044,-075.1818415,369.31808281,63691.2972412109,1211.93997202416
