TractFIPS,Geolocation,lat,lon,walk_score,transit_score,bike_score
42101002801,"(39.92897296180, -75.1568319140)",39.92897296180, -75.1568319140,92,72,80
42101002802,"(39.92880010960, -75.1614072386)",39.92880010960, -75.1614072386,98,76,78
42101002900,"(39.93069844780, -75.1655728202)",39.93069844780, -75.1655728202,98,79,76
42101003001,"(39.92906403630, -75.1719912034)",39.92906403630, -75.1719912034,91,77,82
42101003002,"(39.93272628360, -75.1711915161)",39.93272628360, -75.1711915161,84,79,77
42101003100,"(39.93234284850, -75.1779571929)",39.93234284850, -75.1779571929,82,72,82
42101003200,"(39.93330115320, -75.1854186846)",39.93330115320, -75.1854186846,83,60,77
42101003300,"(39.93823564260, -75.1961070264)",39.93823564260, -75.1961070264,72,60,80
42101003600,"(39.92792558460, -75.1920208283)",39.92792558460, -75.1920208283,62,56,63
42101003701,"(39.92767281650, -75.1806654707)",39.92767281650, -75.1806654707,86,71,86
42101003702,"(39.92452823600, -75.1824353664)",39.92452823600, -75.1824353664,88,69,85
42101003800,"(39.91846584430, -75.1831322199)",39.91846584430, -75.1831322199,89,68,81
42101003901,"(39.92382625100, -75.1732853803)",39.92382625100, -75.1732853803,95,78,87
42101003902,"(39.91671785600, -75.1744118919)",39.91671785600, -75.1744118919,89,78,89
42101004001,"(39.92380353580, -75.1662102383)",39.92380353580, -75.1662102383,95,79,83
42101004002,"(39.91889433400, -75.1674160231)",39.91889433400, -75.1674160231,91,79,86
42101004101,"(39.92296108480, -75.1589741358)",39.92296108480, -75.1589741358,93,73,83
42101004102,"(39.91794252280, -75.1600628560)",39.91794252280, -75.1600628560,88,73,85
42101004201,"(39.92195538630, -75.1512640272)",39.92195538630, -75.1512640272,92,64,86
42101004202,"(39.91685699890, -75.1516284051)",39.91685699890, -75.1516284051,87,61,78
42101005400,"(39.88790772390, -75.2553008203)",39.88790772390, -75.2553008203,6,46,39
42101005500,"(39.90689706400, -75.2474966794)",39.90689706400, -75.2474966794,48,57,56
42101005600,"(39.89883279210, -75.2447346396)",39.89883279210, -75.2447346396,33,58,61
42101006000,"(39.91151970960, -75.2381570198)",39.91151970960, -75.2381570198,72,69,65
42101006100,"(39.91500134300, -75.2288093375)",39.91500134300, -75.2288093375,46,65,68
42101006200,"(39.91941341990, -75.2335256208)",39.91941341990, -75.2335256208,76,72,71
42101006300,"(39.92108438350, -75.2399759607)",39.92108438350, -75.2399759607,78,73,66
42101006400,"(39.92550132990, -75.2420824613)",39.92550132990, -75.2420824613,72,71,64
42101006500,"(39.93663389010, -75.2365043492)",39.93663389010, -75.2365043492,27,"60 Bike Score of Cobbs Creek Trail Yeadon PA 19050"" src=""//pp.walk.sc/badge/bike/score/60.svg""","map of restaurants, bars, coffee shops, grocery stores, and more near Cobbs Creek Trail in Yeadon"" class=""clippy-inner address-header-static-tile"" src=""//pp.walk.sc/tile/e/0/748x600/loc/lat=39.9366338901/lng=-75.2365043492.png"" width=""374"""
42101006600,"(39.92931554760, -75.2298423301)",39.92931554760, -75.2298423301,76,71,67
42101006700,"(39.92424761280, -75.2242815470)",39.92424761280, -75.2242815470,70,68,75
42101006900,"(39.93084196750, -75.2146589091)",39.93084196750, -75.2146589091,35,68,60
42101007000,"(39.93518506550, -75.2214769220)",39.93518506550, -75.2214769220,74,73,76
42101007101,"(39.93815797690, -75.2249982956)",39.93815797690, -75.2249982956,73,72,78
42101007102,"(39.94092045540, -75.2282510369)",39.94092045540, -75.2282510369,47,70,85
42101007200,"(39.94463697960, -75.2332168373)",39.94463697960, -75.2332168373,71,69,86
42101007300,"(39.94481852470, -75.2232916725)",39.94481852470, -75.2232916725,58,76,93
42101007400,"(39.94085749010, -75.2143066662)",39.94085749010, -75.2143066662,80,74,83
42101007700,"(39.94635234990, -75.2082583944)",39.94635234990, -75.2082583944,90,84,92
42101007800,"(39.94645801810, -75.2162636633)",39.94645801810, -75.2162636633,93,80,97
42101007900,"(39.95046297750, -75.2182570151)",39.95046297750, -75.2182570151,94,76,99
42101008000,"(39.95066135160, -75.2268423422)",39.95066135160, -75.2268423422,89,69,92
42101008101,"(39.94836485870, -75.2360506279)",39.94836485870, -75.2360506279,80,67,84
42101008102,"(39.95222164570, -75.2345583617)",39.95222164570, -75.2345583617,55,72,90
42101008200,"(39.94896596950, -75.2453590271)",39.94896596950, -75.2453590271,37,64,76
42101008301,"(39.95774592950, -75.2465795296)",39.95774592950, -75.2465795296,75,75,85
42101008302,"(39.95669821030, -75.2414378275)",39.95669821030, -75.2414378275,71,70,91
