"","TractFIPS","Population2010","ACCESS2_CrudePrev","ARTHRITIS_CrudePrev","BINGE_CrudePrev","BPHIGH_CrudePrev","BPMED_CrudePrev","CANCER_CrudePrev","CASTHMA_CrudePrev","CHD_CrudePrev","CHECKUP_CrudePrev","CHOLSCREEN_CrudePrev","COLON_SCREEN_CrudePrev","COPD_CrudePrev","COREM_CrudePrev","COREW_CrudePrev","CSMOKING_CrudePrev","DENTAL_CrudePrev","DIABETES_CrudePrev","HIGHCHOL_CrudePrev","KIDNEY_CrudePrev","LPA_CrudePrev","MAMMOUSE_CrudePrev","MHLTH_CrudePrev","OBESITY_CrudePrev","PAPTEST_CrudePrev","PHLTH_CrudePrev","SLEEP_CrudePrev","STROKE_CrudePrev","TEETHLOST_CrudePrev","YEAR","COUNT_ALL_RACES_ETHNICITIES","COUNT_WHITE_NH","COUNT_BLACK_NH","COUNT_ASIAN_NH","COUNT_HISPANIC","PERCENT_WHITE_NH","PERCENT_BLACK_NH","PERCENT_ASIAN_NH","PERCENT_HISPANIC","HSI_SCORE","HEI_SCORE","HVI_SCORE","N_VERYHIGH","sumTOTAL_LPSS","avgLPSS_PER1000","sumTOTAL_HPSS","avgHPSS_PER1000","avgPCT_HPSS","avgPCT_VEHICLE_AVAIL","sumTOTAL_RESTAURANTS","avgPCT_POVERTY","sumTOTAL_UNITS","lat","lon","walk_score","transit_score","bike_score","gini","n_hospitals","pct_hosp"
"11","42101000804",3609,5.3,16,28.5,18.3,68,5.4,8.5,3.1,68.1,79.1,77,2.7,53.6,39.6,10.8,77.4,4.7,23.1,1.6,13.5,81.1,9.4,18.9,83.8,6.3,32.2,1.4,5.5,2010,3609,2835,98,424,179,78.55361596,2.71543364,11.74840676,4.95982267,-0.62264309,-2.38157148,-1.54918541,"0",279,64.1050680833333,63.75,15.0690217866667,18.628979,42.9170611533333,87,8.26905209,NA,39.9485645654,-75.1677563238,100,100,88,0.549,NA,NA
"12","42101000901",2276,6.3,11.3,29.4,15.4,57.3,3,9,2.2,65,72.5,70.6,2.4,48.6,35.6,13.4,72.4,4.1,18.6,1.4,15.1,82.4,11.7,20.8,81.6,6.4,34.8,1.1,6.6,2010,2276,1528,215,348,94,67.13532513,9.44639719,15.28998243,4.13005272,2.01417788,-4.46403735,-3.00206136,"0",166,87.30728626,35,18.41118819,17.411248505,28.46951893,46,24.77127598,65,39.9478866445,-75.1623004239,100,100,90,0.49,NA,NA
"13","42101000902",2773,8.2,20.5,21.6,26.1,76.1,5.9,9.3,5.7,70.6,76,68.9,4.7,43.4,30.7,14.8,66.4,9.5,29.4,2.7,20.8,78,12.3,21.4,79.3,9.9,34.4,2.7,10.3,2010,2773,1793,170,639,112,64.65921385,6.13054454,23.04363505,4.03894699,0.08707536,-0.75065541,-0.26255835,"0",140,52.98274807,24.5,9.26069943,14.967038945,48.735550895,31,19.324451165,NA,39.9471595461,-75.1566388733,97,100,87,0.701,1,0.0277777777777778
"14","42101001001",2603,4.2,25.6,22.8,27.9,78.8,9,8.3,5.4,74.5,86.6,78.4,4,54.6,40.8,9.5,80.8,7.7,32.7,2.4,14.6,81.4,8.2,20.9,85,8,29.7,2.3,4.6,2010,2603,2294,67,130,72,88.12908183,2.57395313,4.99423742,2.76603919,-0.19237386,-1.1670822,-1.1712192,"0",91,35.143060165,24.25,9.47096217,21.38697318,68.91999942,17,6.03462791,NA,39.9456722611,-75.1516019404,97,100,84,0.513,NA,NA
"15","42101001002",3612,4.3,23.1,24.4,25.5,76.2,7.8,8.4,4.7,72.8,85.7,77.8,3.6,53.8,41.2,10,80.1,7.1,30.8,2.2,14.2,81.9,8.5,21.1,84.9,7.6,30.8,2,4.6,2010,3612,3103,93,220,120,85.90808416,2.57475083,6.09080842,3.32225914,-1.35231565,-2.0904977,-3.10556591,"0",89,27.4559876066667,18,5.47514239666667,16.93590554,72.7038362366667,54,5.66513837333333,NA,39.945004538,-75.146619303,98,96,87,0.512,NA,NA
"16","42101001101",3586,6.6,17.4,27.1,21.2,69.2,5.1,9.5,3.9,68.4,76.3,73.6,3.7,49.1,35.6,14.2,74.2,6.2,24.5,2,16.9,82,11.9,22.6,83.4,8.1,33.3,1.9,7.3,2010,3586,2765,337,227,162,77.10540993,9.39765756,6.33017289,4.51756832,0.64687493,-3.01530117,-2.30280241,"0",213,60.025895015,66,18.22351013,23.6528261275,49.8335575425,31,18.4324915275,576,39.9449917636,-75.1625240137,97,100,92,0.531,NA,NA
"17","42101001102",2659,5.2,14.2,29.9,17.2,62.8,4.1,8.9,2.7,66.1,77.1,72.6,2.7,50.7,38.2,12.1,75.3,4.5,21.9,1.5,13.9,82.9,10.6,21.3,84.8,6.6,33.1,1.3,5.1,2010,2659,2155,130,186,109,81.04550583,4.88905604,6.99511094,4.09928545,0.27607367,-4.3500457,-4.14550743,"0",138,59.01797337,60.5,26.310690655,30.456968775,54.5376376,7,16.202004905,NA,39.9442654297,-75.1566960284,97,100,88,0.54,1,0.0277777777777778
"18","42101001201",3778,4.5,16.9,29.5,19,68.3,5.5,8.4,3.1,68.7,81.7,77.6,2.7,54.8,42.2,10.6,81.2,4.9,24.6,1.6,12.9,82.7,9,19.9,85.9,6.3,31.1,1.4,3.8,2010,3778,3238,85,222,145,85.70672313,2.24986765,5.87612493,3.83800953,-0.04393201,-2.78232683,-2.09844097,"0",107,27.48311518,39.75,10.07146245,27.760268825,70.38921303,13,2.9253291725,NA,39.9471367281,-75.1802279195,97,93,100,0.542,NA,NA
"19","42101001202",5137,5.3,14.7,29.7,17.5,64.8,4.5,8.9,2.8,67,77.5,74.9,2.7,52.2,39.8,11.7,78.3,4.6,22,1.6,13.7,82.1,10.4,20.4,84.7,6.5,32.1,1.3,5.1,2010,5137,4131,283,319,262,80.41658556,5.50905198,6.20985011,5.10025307,0.92762254,-3.20922801,-2.10649925,"0",304,63.74008006,81.25,17.02700122,21.287111906,63.302528936,29,10.086069496,NA,39.945911636,-75.169947532,100,100,89,0.531,NA,NA
"20","42101001300",4942,7,17.7,27.6,23.3,70.5,4.8,9.7,3.3,70.2,79.5,73.7,3.4,45.7,35.2,14.8,74,6.8,24,2,17,83.5,11,24.5,84.5,8,36.1,2,8.4,2010,4942,2780,1564,243,182,56.25252934,31.64710643,4.91703764,3.68271955,0.7952019,-2.48323636,-1.2426524,"0",126,22.59616673,23.25,4.611762704,16.099120564,70.347507018,20,6.654712352,NA,39.9428317963,-75.1845558386,87,79,99,0.476,NA,NA
